p,P,S,auc
0.1,50,20,65.12872295299148
0.1,70,0,80.34051579991507
0.2,50,20,81.45581153361316
0.2,70,0,90.22953738945428
0.3,50,20,87.67068664663067
0.3,70,0,93.57792989392857
0.4,50,20,90.82011283351076
0.4,70,0,95.25819215652251
0.5,50,20,92.71182671981833
0.5,70,0,96.27398342977725
0.6,50,20,93.97546905704536
0.6,70,0,96.95029263818127
0.7,50,20,94.88370921954113
0.7,70,0,97.4872975816823
0.8,50,20,95.58934655295454
0.8,70,0,97.86867278783208
0.9,50,20,95.93161495619229
0.9,70,0,98.20137663771405
1,50,20,97.62000845944587
1,70,0,98.7965984362352
